省,省code,市,市code,区县,区县code,废品回收,再生资源回收,旧货回收,回收站,总计
内蒙古自治区,150000,乌兰察布市,150900,卓资县,150921,6,6,6,6,6
内蒙古自治区,150000,巴彦淖尔市,150800,乌拉特中旗,150824,3,4,4,4,5
内蒙古自治区,150000,呼伦贝尔市,150700,扎赉诺尔区,150703,4,4,5,5,5
内蒙古自治区,150000,鄂尔多斯市,150600,鄂托克前旗,150623,2,2,5,5,5
内蒙古自治区,150000,赤峰市,150400,克什克腾旗,150425,4,4,5,5,5
内蒙古自治区,150000,赤峰市,150400,阿鲁科尔沁旗,150421,3,3,5,5,5
内蒙古自治区,150000,通辽市,150500,库伦旗,150524,1,1,5,4,5
内蒙古自治区,150000,巴彦淖尔市,150800,乌拉特后旗,150825,3,3,4,4,4
内蒙古自治区,150000,呼伦贝尔市,150700,新巴尔虎右旗,150727,3,3,4,3,4
内蒙古自治区,150000,呼伦贝尔市,150700,额尔古纳市,150784,3,3,4,4,4
内蒙古自治区,150000,呼伦贝尔市,150700,陈巴尔虎旗,150725,3,4,3,3,4
内蒙古自治区,150000,锡林郭勒盟,152500,二连浩特市,152501,1,1,3,3,4
内蒙古自治区,150000,锡林郭勒盟,152500,正蓝旗,152530,3,3,4,3,4
内蒙古自治区,150000,锡林郭勒盟,152500,正镶白旗,152529,4,4,4,4,4
内蒙古自治区,150000,包头市,150200,达尔罕茂明安联合旗,150223,2,2,3,3,3
内蒙古自治区,150000,乌兰察布市,150900,察哈尔右翼后旗,150928,1,1,2,2,3
内蒙古自治区,150000,乌兰察布市,150900,察哈尔右翼中旗,150927,3,3,3,3,3
内蒙古自治区,150000,乌兰察布市,150900,凉城县,150925,3,3,3,3,3
内蒙古自治区,150000,呼和浩特市,150100,清水河县,150124,2,2,3,3,3
内蒙古自治区,150000,锡林郭勒盟,152500,苏尼特右旗,152524,1,1,2,2,2
内蒙古自治区,150000,乌兰察布市,150900,化德县,150922,2,2,2,2,2
内蒙古自治区,150000,阿拉善盟,152900,阿拉善右旗,152922,1,1,2,2,2
内蒙古自治区,150000,包头市,150200,白云鄂博矿区,150206,1,1,1,1,1
内蒙古自治区,150000,呼伦贝尔市,150700,新巴尔虎左旗,150726,1,1,1,1,1
内蒙古自治区,150000,兴安盟,152200,阿尔山市,152202,1,1,1,1,1
内蒙古自治区,150000,锡林郭勒盟,152500,镶黄旗,152528,1,1,1,1,1
黑龙江省,230000,哈尔滨市,230100,道里区,230102,50,51,187,174,202
黑龙江省,230000,哈尔滨市,230100,南岗区,230103,19,19,190,128,200
黑龙江省,230000,哈尔滨市,230100,香坊区,230110,45,47,114,96,121
黑龙江省,230000,哈尔滨市,230100,道外区,230104,25,25,55,53,55
黑龙江省,230000,绥化市,231200,北林区,231202,19,19,48,48,49
黑龙江省,230000,哈尔滨市,230100,呼兰区,230111,25,25,47,45,49
